"Sample","FCGR1A","CCR2","IL8","IL10","HIF1A","IFNB1","ITGAM","TREM1","IFNA1","HLA-DRA","C5AR1","PLAUR","LCN2","IFNA2","IL6","BCL2","CALCA","TLR4","ELA2","CCR7","CCL2","MAPK14","TNF","NOTCH1","S100A8","LBP","MMP8","MAPK14.1","CCL25","MYD88","CD14","CX3CR1","S100A12","S100A9","OLFM4","IL1R2","P2RX7","HIF1A.1","VCAM1","CCL19","CCR2.1","IL1R2.1","TLR2","CD177","IL1B","CCR2.2","CRP","SOCS3","CCL25.1","C3AR1","MAPK14.2","HMGB1","CXCL10","MMP9","BCL2.1","TNFSF10","PTX3","PDCD1","CALCA.1","ICAM1","ARG1","IL10.1","CX3CR1.1","OLFM4.1","SOCS3.1","HLA-DRA.1","FCGR1A.1","IL8.1","IFNG","HMGB1.1","BCL2.2","IL1R2.2","CCR2.3","VCAM1.1","NLRP3","VCAM1.2","CALCA.2","BCL2.3","PLAUR.1","CCR2.4","HIF1A.2","MAPK14.3","CD14.1","GATA3","PLAUR.2","Label"
"GSM2672557",39.3603,4.0666,238.0971,1.667,41.402,-3.1557,600.116,97.5207,-9.0771,10551.0879,824.908,109.1742,295.2923,-4.2354,5.9465,-0.1321,5.4509,233.7523,86.0692,966.3194,33.6083,10.9005,130.0426,1790.0863,11863.0811,0.1305,1.3275,63.5707,-1.3434,946.7512,4007.3669,180.4627,611.301,12613.6035,9.131,40.7552,162.2948,58.9656,4.8539,9.0779,261.5545,586.4306,115.0319,4.452,1148.4824,9.8264,5.4985,22.8087,-1.0632,82.5622,79.9633,-3.0698,48.0309,696.4266,249.2471,1263.7876,9.6053,11.8302,15.7258,13.3454,25.4381,529.4161,1567.3829,58.3989,8.4036,10471.8662,360.9605,524.0093,80.5386,28.236,774.9973,0.1274,46.908,7.9832,256.6766,3.6,-4.2528,8.6219,462.7642,1.1185,89.7458,41.9606,16165.7578,49.981,157.3506,"Control"
"GSM2672558",2.2874,12.2747,236.4629,-1.7266,26.0098,2.4596,470.4447,47.4103,-0.3352,8458.6699,672.5081,89.1132,473.1351,-3.0947,16.5439,4.8595,-4.6599,116.9528,88.0287,1412.0649,4.1207,10.1973,91.9536,1699.3818,9807.0713,-1.2837,1.411,31.9113,-2.1855,709.8644,1736.0748,141.0726,261.1865,9510.374,2.7669,25.1135,112.8413,59.8178,-0.6587,12.8803,202.8464,366.5766,26.028,3.5687,594.3173,3.7189,7.6772,10.8891,-6.6012,37.738,51.3763,14.953,21.6286,634.5655,222.8305,743.4116,4.37,9.8003,0.2388,-3.2475,89.9374,560.8604,1880.67,89.6698,-5.0038,6110.0898,48.3149,484.46,65.6588,50.6925,512.1122,-4.3651,19.3629,-0.4297,146.3101,-0.1989,0.1578,6.8203,269.8305,-6.2413,70.4028,36.0574,9833.1787,46.1707,86.7971,"Control"
"GSM2672559",16.6958,6.9571,142.0824,-2.6948,79.1978,-9.551,1107.1556,74.9503,-1.2836,6369.2046,1310.1445,83.4626,112.3114,-5.5876,0.9884,-9.9842,-2.5328,328.3092,22.1258,771.9178,16.3791,14.1795,78.0434,1077.7756,12671.3701,-3.1579,0.7958,69.1443,-2.8386,1171.1772,1666.0853,306.7213,1215.7975,14725.2627,4.1163,27.34,117.7401,115.4065,6.0109,-1.4694,151.6082,572.0027,70.562,3.6866,816.8301,-3.8011,0.2066,19.9165,2.8365,114.5597,102.9149,12.8302,48.1282,1155.809,208.9889,1344.5085,6.0174,24.6082,0.6912,-2.99,196.1002,357.6477,3792.092,8.86,4.1921,6783.7056,216.5399,389.4757,106.4515,56.2715,832.3984,5.0824,22.0687,11.1342,150.1573,12.2269,1.1452,7.2437,452.8698,-6.8917,136.4909,81.1191,8461.5234,88.768,111.0086,"Control"
"GSM2672560",23.2739,4.6841,307.1782,-3.4147,39.7916,-6.6385,595.5677,91.1855,-0.3343,7629.1484,1146.7494,59.8815,521.1365,5.3629,25.7061,1.5655,-4.7625,182.9662,91.6067,1466.6375,18.2526,7.6465,109.2244,1224.1158,7768.731,-0.2243,6.1021,26.8867,0.3065,855.9664,1412.3459,161.5544,356.2015,11305.4795,0.8176,33.7973,139.2246,75.7692,10.546,1.5527,207.2857,349.1191,46.4684,-4.7807,619.9291,-7.223,3.6772,12.8129,-3.1808,68.5725,27.1693,26.0525,73.8596,434.0213,346.0586,1440.7719,5.4394,11.5072,-1.963,-1.5064,118.93,591.0552,2380.1443,58.4064,9.2646,8351.0225,122.2599,766.5552,95.3154,43.5436,1340.693,2.2102,30.8904,-0.5931,208.7063,1.6151,-2.5459,1.2495,354.3831,6.6441,100.2092,17.8498,8226.0576,101.0425,91.2543,"Control"
"GSM2672561",15.1963,2.9388,107.8683,-5.9298,47.1856,-4.7304,832.5093,104.6124,4.0193,5875.2183,1416.1586,84.3631,1407.6989,-0.0684,16.6614,-9.7332,0.0117,239.4759,570.6147,362.819,5.7139,8.3733,92.0497,1060.3953,12220.0273,-0.2912,32.8734,66.9181,3.3223,875.7496,1719.1769,231.5506,901.316,14231.9678,19.3406,78.6572,143.508,39.5281,1.6673,7.2042,180.6995,1047.6959,75.1838,9.0196,537.5646,-1.0262,6.1108,24.9898,-2.9934,40.1511,91.5449,1.2694,67.8224,1439.1888,181.1934,1121.2477,6.6807,14.9904,7.7401,5.7733,445.0405,387.2019,2606.9346,770.2755,8.7195,4585.1846,108.0297,288.5455,171.3869,73.2233,589.6096,1.7679,25.2656,60.294,135.6332,4.8959,2.0609,2.8942,412.0536,-4.0066,131.7703,48.4155,8282.2373,64.16,105.9601,"Control"
"GSM2672562",8.2031,3.0573,162.6042,-3.4916,49.4385,-2.2074,564.0413,108.3146,6.3864,5636.7124,844.5654,112.5355,613.1163,2.3181,1.186,-2.5309,1.5473,193.4315,323.6507,1031.3357,8.2623,11.0071,96.3709,2062.9934,10962.3057,-7.9784,0.5043,35.0602,3.1799,730.6787,1876.0953,127.668,448.3401,12942.9443,7.9625,48.4645,120.0678,74.2378,-0.0433,5.8277,176.9338,436.903,62.3453,-4.959,644.0386,5.9253,1.5743,19.646,1.1453,101.5939,62.0003,-1.6646,44.9044,742.274,147.7933,1177.8713,4.4725,10.3324,8.5344,4.6082,104.1409,625.7612,1246.3856,227.5973,-0.3594,3666.8459,46.8788,399.0906,63.2701,59.0585,400.5854,-2.2196,10.9751,0.1937,103.7473,-4.285,0.9418,2.7909,343.4822,10.1791,140.2206,19.4946,9438.415,54.7294,85.3983,"Control"
"GSM2672563",23.9015,2.3631,254.3146,-1.5412,43.875,1.0237,474.7138,73.1847,-7.1668,7131.606,649.0231,116.7251,285.8447,-5.5187,12.6005,6.7431,-7.9205,168.9654,84.7663,535.8363,7.9712,9.7227,96.1892,1453.4044,11786.0674,-8.9333,-10.3815,52.3539,-1.2336,737.6305,1931.8929,175.049,550.2905,14147.1025,8.6638,44.9433,164.3891,78.6107,8.5163,9.9678,171.6415,469.6428,69.9583,2.0379,751.4945,8.4913,2.4053,21.5153,1.9937,22.8486,85.9209,10.4893,60.9857,592.3831,279.7852,1348.6486,4.8673,-4.4031,6.4802,-2.0828,59.7981,615.6175,2061.6472,72.4829,7.1845,7664.2959,160.9716,671.9268,114.1841,55.9867,750.9274,0.3714,27.657,7.8282,164.1013,-0.3179,6.641,8.0952,302.5234,-7.074,94.4261,22.4465,13020.0117,64.323,61.0723,"Control"
"GSM2672564",23.388,11.3487,308.9463,-4.973,61.8175,0.1764,568.8235,30.5824,7.935,6135.8628,668.0081,107.7236,147.9972,-6.3169,3.9007,-1.3735,-1.3791,156.7623,1.5963,977.8457,63.133,-1.9653,121.1885,753.825,10776.6797,7.4987,-2.5097,29.3533,0.224,910.1966,2080.6091,345.8542,639.4798,11285.8174,-12.1746,10.1229,201.4493,85.1226,3.9811,3.1002,273.9932,108.5619,62.6233,5.3572,459.2406,6.1412,0.8586,18.463,-5.3452,140.096,47.2706,4.5528,459.7353,271.8893,331.7357,1872.9828,-0.4232,17.4584,0.2691,17.4681,7.9234,306.449,5257.3467,12.0736,-4.8443,7101.3711,151.9602,832.7812,161.1251,79.3004,1083.8351,3.7619,35.8678,13.2748,123.7652,-2.5731,2.2878,19.3728,268.5928,0.2222,116.6616,41.192,10872.3037,79.9075,84.7786,"Control"
"GSM2672565",7.8872,6.2331,113.7708,-3.8479,62.7091,-8.8145,466.8769,54.1984,6.3322,7296.1519,637.9012,96.4025,241.9302,-0.4496,14.5936,9.1545,-6.9586,144.6413,117.9139,1657.2843,9.2047,15.3068,135.5786,1647.4844,8298.8369,2.3375,0.4817,47.895,-5.5628,952.7079,1701.8723,242.347,528.3622,11161.7471,-4.06,17.8362,188.6105,45.2787,6.9534,7.0374,161.2773,249.8977,57.4693,3.1233,658.1287,-0.4198,-11.3841,17.7352,-3.7348,75.8643,38.9754,7.1529,34.0674,732.0712,261.7623,1097.4424,0.2883,4.2714,5.2735,7.6997,-1.0753,364.1713,1841.2657,75.6578,3.8132,3881.7344,76.1052,250.4351,90.0282,48.493,687.4364,-5.9931,13.3097,8.9295,121.0304,-0.9814,-2.611,6.4955,328.2503,-0.7306,104.2687,28.0127,8491.3545,67.0391,95.3658,"Control"
"GSM2672566",21.1554,-1.7566,189.2304,-10.4081,61.4071,-5.761,716.2446,108.8972,-1.9068,5399.271,633.3848,148.5853,433.2588,-2.1818,-2.3425,-8.3794,-2.1233,206.2388,30.7801,843.673,16.8729,18.0004,102.866,1905.0648,10885.1953,7.3017,7.1503,26.6792,4.3832,891.5773,2070.521,162.7777,499.7492,11092.8838,-1.2054,50.6276,157.7279,104.2147,3.5552,15.7211,202.9428,429.3906,53.6924,0.5844,742.9922,1.8338,-0.8311,34.4502,-10.113,92.2255,45.9043,7.2764,54.6424,570.5281,199.6937,1105.8425,4.3025,0.8125,-6.4579,0.7013,67.1829,723.993,1956.6282,88.6861,-1.9877,5277.936,123.9057,456.6275,46.4684,66.6448,543.7255,-7.2793,27.1539,-0.1501,118.4894,-6.426,0.2992,2.6023,340.6417,-7.6499,104.6104,30.9468,9886.8779,69.8441,111.2434,"Control"
