Gene,Mean_Importance,Rank_RF
TREM1,1.67179173148526,1
PLAUR,1.36494619768089,2
HMGB1,1.28855288309145,3
IL10.1,0.929424384881463,4
HIF1A,0.91014871319967,5
TNF,0.788789751041041,6
HIF1A.2,0.760581058904339,7
S100A8,0.728427613069306,8
CD14,0.628977861342319,9
HIF1A.1,0.602592554580125,10
S100A9,0.577971687117927,11
CCR2.1,0.553161072848287,12
CCL19,0.482375285745002,13
NOTCH1,0.448711385858813,14
CCR2.2,0.435012127061544,15
MMP9,0.429339984662905,16
IL6,0.403100033294352,17
HMGB1.1,0.391856486322881,18
CD14.1,0.374733255005465,19
S100A12,0.365723693132574,20
C5AR1,0.355450987548833,21
ICAM1,0.344239773783172,22
NLRP3,0.330709418251868,23
CCR2.4,0.326160137390028,24
ELA2,0.322256854532469,25
IL1B,0.313081935503025,26
ITGAM,0.305806990042023,27
MAPK14.2,0.296692501364765,28
BCL2.1,0.290231305557162,29
CCL2,0.27671572333041,30
FCGR1A,0.267378926106058,31
OLFM4,0.254571982207115,32
OLFM4.1,0.247207902161315,33
NLRP3.2,0.241482057605712,34
LCN2,0.238910631574382,35
PDCD1,0.23824751399192,36
CXCL10,0.22307737789601,37
IFNG,0.220331334453679,38
ARG1,0.215164831807102,39
IL1R2,0.209846173472594,40
MAPK14.1,0.205876388686998,41
MYD88,0.205195365185406,42
HLA.DRA.1,0.198283963658037,43
C3AR1,0.196477979865065,44
CCR2.5,0.195141133903842,45
CCR2,0.192272336036951,46
NLRP3.1,0.189078441546893,47
SOCS3.1,0.188214161863747,48
SOCS3,0.187168707652815,49
IL1R2.2,0.186912253786054,50
P2RX7,0.184389600053342,51
MMP8,0.184191655893261,52
CCR2.3,0.182927772677132,53
IL8,0.180546971370755,54
PLAUR.2,0.179573070152286,55
IL8.1,0.169966183290914,56
CX3CR1.1,0.164971337939884,57
CD177,0.160659366372412,58
CALCA,0.155956256407046,59
TLR2,0.151052039527188,60
MAPK14,0.150931031978706,61
VCAM1,0.14554523889227,62
CCL25,0.144986939415761,63
MAPK14.3,0.143509148653126,64
IL1R2.1,0.14147986066744,65
PLAUR.1,0.14003590360217,66
CX3CR1,0.138715167372706,67
TNFSF10,0.138352049939268,68
BCL2,0.134070564099317,69
HLA.DRA,0.129759693159076,70
IL10,0.124054977698835,71
CCR7,0.117329783966371,72
TLR4,0.109004441236463,73
GATA3,0.0859513847183798,74
