"Sample","PLAUR","P2RX7","ICAM1","HIF1A","MMP9","OLFM4","GATA3","CCL2","CALCA","IFNG","MAPK14","IL1R2","MMP8","ARG1","CCR2","TNFSF10","TREM1","IL1B","CCR7","LBP","CCL25","CRP","IL6","IL10","TLR4","TLR2","LCN2","NOTCH1","FCGR1A","VCAM1","NLRP3","S100A12","PTX3","CX3CR1","CXCL10","CXCL8","ITGAM","CD14","BCL2","IFNB1","C3AR1","CCL19","MYD88","SOCS3","IFNA2","PDCD1","HMGB1","C5AR1","ELANE","IFNA1","HLA-DRA","CD177","TNF","Label"
"R1",8.82654848729092,4.75488750216348,6.6147098441152,10.0237543532994,7,3.7004397181411,3.58496250072116,0,-145.244888928914,4.58496250072116,10.5641494899857,9.16239132875691,4.16992500144229,5.72792045456319,9.96866679319521,10.4501802471648,9.72109918870717,7.33091687811461,6.64385618977471,-145.244888928914,-145.244888928914,-145.244888928914,0,1,11.6573184495813,11.5386739530827,6.10852445677816,9.15987133677839,7.60733031374963,2.32192809488737,8.06608919045777,9,2,8.12412131182919,3,8.57742882803575,8.33539035469391,10.283088353024,8.87344411251536,-145.244888928914,6.22881869049587,-145.244888928914,7.89481776330794,6.12928301694495,-145.244888928914,2,10.8970891283128,7.68650052718323,2,-145.244888928914,10.4858293087019,3.58496250072116,3.80735492205758,"Sepsis+"
"R100",9.03617361255348,6.50779464019868,7.29462074889162,9.92629599478113,7.71424551766611,5.28540221886226,2,-145.243320004643,-145.243320004643,2.80735492205758,10.8273427042341,8.97154355395077,4.9068905956085,6.42626475470209,9.80413102118331,11.0042204663182,9.64205169292799,7.82017896241518,6.64385618977471,-145.243320004643,-145.243320004643,-145.243320004643,-145.243320004643,-145.243320004643,11.5352753766208,11.4512111118323,5.78135971352464,9.91288933622997,8.55842071326865,-145.243320004643,8.04439411935846,9.2045711442492,3.4594316186373,8.50382573799575,3.7004397181411,8.66888498426624,9.73470962022583,11.2173519052703,8.35755200461807,-145.243320004643,7.34872815423108,-145.243320004643,8.89784545600551,7.67948009950544,-145.243320004643,0,10.1799090900149,8.79116288855502,3.7004397181411,-145.243320004643,11.4481163054095,2,3.4594316186373,"Sepsis+"
"R101",8.90989308377002,5.88264304936183,7.42626475470209,10.1885888457073,8.98013957763916,4.95419631038686,3.80735492205758,1,-145.248990418005,3.7004397181411,11.1922928144708,9.48784003382306,5.16992500144229,8.07681559705082,9.24079133216196,10.654636028528,9.67065624911842,8.55842071326865,6.70043971814107,-145.248990418005,-145.248990418005,-145.248990418005,-145.248990418005,2,11.5873087283335,11.6772791913122,5.88264304936183,11.2437690319618,6.64385618977471,1,7.54689445988762,9.54882190845873,2.32192809488737,8.34429590791581,3.16992500144229,7.38370429247405,10.3151495622563,10.1357092861044,8.84549005094436,0,7.0552824355012,-145.248990418005,9.68999797141944,8.49984588708321,-145.248990418005,1,10.4019461239765,10.1560830762887,3.32192809488737,-145.248990418005,10.4377520723236,4.08746284125033,3.80735492205758,"Sepsis+"
"R102",9.42206476617281,6.68650052718323,7.76155123244448,10.3320365483616,9.13699111208024,3.16992500144229,5,0,1.58496250072113,3.80735492205758,11.0894504811159,9.26209484537017,4.95419631038686,6.94251450533923,10.2691266791494,11.2502984179063,9.98441845880114,8.75488750216346,7.53138146051631,-145.251601185687,1.58496250072113,-145.251601185687,1,2.58496250072116,11.7858611057596,11.4777582664439,7.62205181945637,10.8925428166486,9.72962074355303,-145.251601185687,7.74819284958946,9.48984796043931,3.7004397181411,8.82972273508605,4.85798099512758,7.91886323727459,10.1922928144708,11.266200912499,8.49185309632966,-145.251601185687,7.53138146051631,-145.251601185687,9.4450148458684,8.24792751344359,-145.251601185687,3.32192809488737,10.7219536128014,9.48784003382306,4.39231742277877,-145.251601185687,11.4506957715729,4.32192809488737,3.58496250072116,"Sepsis+"
"R103",9.35755200461807,6.93073733756287,7.9307373375629,10.6510516911789,10.5631962722167,6.78135971352467,4.24792751344359,0,0,4.9068905956085,11.9556499075284,10.5284541107648,6.71424551766611,7.8008998999203,10.6917435191713,11.3459595964041,10.4532706340106,9.14720492494223,7.9307373375629,0,0,-145.252788046189,0,2.32192809488737,12.5233169123127,12.1645927167123,6.55458885167764,11.4093909361377,8.75822321472671,1.58496250072113,8.61102479730735,10.3663222142458,3.58496250072116,9.09011241966428,1.58496250072113,7.33985000288462,11.1104833098162,11.4475998582799,9.12412131182919,-145.252788046189,6.76818432477691,1,9.86263735755878,8.77807712953535,-145.252788046189,3.80735492205758,10.6447575925162,10.1433832139898,4.95419631038686,-145.252788046189,11.0292872269682,5.24792751344359,4.39231742277877,"Sepsis+"
"R104",9.24079133216196,6.95419631038689,7.67948009950544,11.0375469539622,8.77807712953535,4.32192809488737,4.39231742277877,1.58496250072113,-145.254309706864,5.70043971814107,11.7330153216859,9.01122725542325,5.42626475470209,8.19475685442222,10.3128829552844,11.6064052126978,10.0874628412503,9.4241662888181,7.71424551766611,1.58496250072113,-145.254309706864,-145.254309706864,1,2,12.4233785765185,11.5377037479076,6.6582114827518,11.0396045179538,8.92777796208233,2.32192809488737,8.47167521439204,10.3520434257954,4.95419631038686,9.42626475470209,5.16992500144229,9.3037807481771,10.4335854411505,11.0265234425198,9.6073303137496,0,6.35755200461807,-145.254309706864,9.283088353024,8.68999797141944,-145.254309706864,3.58496250072116,11.2045711442492,9.64385618977471,2.58496250072116,0,11.4330637651221,5.78135971352464,4.80735492205758,"SIRS-"
"R105",8.97727992349991,7.09803208296051,8.0552824355012,11.1623913287569,9.12412131182919,7.12928301694495,6.50779464019868,-145.254902414268,-145.254902414268,6.08746284125033,11.6293566200796,9.09539702279255,7.14974711950467,7.69348695749932,10.2252074369435,11.5318687751775,10.6873756834375,9.68999797141944,8.11894107272349,-145.254902414268,-145.254902414268,-145.254902414268,0,2.32192809488737,12.5444815223108,11.7578066721972,6.18982455887999,11.634357301138,8.31741261376484,5.24792751344359,8.65463602852796,10.0861362250273,3.4594316186373,10.5147140541385,4.58496250072116,11.0505289055306,10.7673568541257,11.0633950812885,10.3815429511846,0,7.90086680798075,-145.254902414268,9.81538329581352,9.04712391211402,-145.254902414268,4.08746284125033,11.3309168781146,10.4167975276061,3.99999999999997,-145.254902414268,12.0986900966736,4.85798099512758,5,"SIRS-"
"R106",8.93073733756287,7.38370429247405,7.15987133677839,10.3912435894274,7.876516946565,3.7004397181411,3.80735492205758,4.70043971814107,-145.2484572069,4.70043971814107,11.1724275086455,8.47978026402907,4.64385618977474,6.71424551766611,10.523561956057,11.801304186049,8.90388184573618,8.89178370321829,7.18982455888002,-145.2484572069,-145.2484572069,-145.2484572069,0,3.58496250072116,11.8997345423575,11.6384359139905,6.42626475470209,10.8360503550581,8.65463602852796,1.58496250072113,8.54689445988762,8.31288295528435,4.16992500144229,9.56985560833095,5.67242534197149,9.64565843240871,10.3454052467178,11.237209960755,8.6582114827518,-145.2484572069,7.99435343685886,-145.2484572069,9.75655632252406,7.9068905956085,-145.2484572069,2.58496250072116,10.5313814605163,9.38154295118457,3.16992500144229,-145.2484572069,11.7460943837054,3,4.75488750216348,"SIRS-"
"R107",9.20701432017754,6.12928301694495,6.42626475470209,10.5933911227917,8.76155123244448,5.70043971814107,5.04439411935846,2,0,4.75488750216348,11.2940463132715,9.51569983828404,5.83289001416475,8.03342300153744,10.3174126137649,11.3140167039014,9.34651373316564,8.56985560833095,7.88874324889824,-145.245473064893,-145.245473064893,-145.245473064893,-145.245473064893,1,11.5612879451648,11.4828079567267,6.50779464019868,9.4008794362822,8.66177809777196,1,8.09275714091984,11.1935253605012,4.9068905956085,8.14974711950467,3.99999999999997,8.89784545600551,9.34207466799913,10.7623820387104,9.19229281447076,-145.245473064893,6.56985560833093,-145.245473064893,8.90086680798072,7.67948009950544,-145.245473064893,4.24792751344359,11.3586512008929,8.7004397181411,2.80735492205758,-145.245473064893,11.3281138948336,1,3.9068905956085,"SIRS-"
"R108",8.47167521439204,6.18982455887999,7.15987133677839,10.6926155016946,7.49984588708321,4.39231742277877,4.75488750216348,-145.250768860307,-145.250768860307,4.70043971814107,11.0430272835945,9.09275714091984,5.4594316186373,6.22881869049587,9.63481105017169,11.3297963382207,9.68299458368168,8.3663222142458,7.84549005094436,-145.250768860307,-145.250768860307,-145.250768860307,1.58496250072113,0,11.4335854411505,11.243173983473,5.08746284125033,10.3353903546939,8.29462074889162,1.58496250072113,8.07681559705082,8.85486838326025,3.16992500144229,9.26678654069488,3.58496250072116,7.96578428466208,9.41574176829008,10.7073591320809,9.64205169292799,-145.250768860307,6.71424551766611,-145.250768860307,9.0251395622785,7.27612440527423,-145.250768860307,2.32192809488737,10.7657004876511,8.9454438363779,3.4594316186373,-145.250768860307,11.3874788658424,2.32192809488737,4.24792751344359,"SIRS-"
"R109",8.82972273508605,6.53915881110802,7.47573343096639,10.2407913321619,9.15987133677839,4.24792751344359,4.52356195605702,0,1,2.80735492205758,11.1674181458317,9.58683978796182,5.04439411935846,7.76818432477691,10.0633950812885,10.4241662888181,10.9505558970475,8.42626475470209,6.6582114827518,0,0,-145.247656692951,1,1,11.9560130780881,11.617008227652,6.18982455887999,11.2082343583398,7.62205181945637,-145.247656692951,7.88874324889824,8.77148946950061,1.58496250072113,8.85486838326025,-145.247656692951,8.90989308377002,10.7927902943011,10.8193807908646,8.04439411935846,-145.247656692951,7.0552824355012,-145.247656692951,9.82813648419409,8.52747700606039,-145.247656692951,3.16992500144229,10.3531468254981,10.661778097772,2.58496250072116,-145.247656692951,11.2697111211428,3.58496250072116,4.9068905956085,"SIRS-"
"R11",9.13442632022094,6.52356195605699,7.16992500144232,10.3140167039014,6.96578428466208,5.97727992349991,3.9068905956085,-145.244091168452,-145.244091168452,5.58496250072116,10.6429542234803,7.87036471958339,5.16992500144229,7.53138146051631,10.1573469353629,10.6908710092923,8.76818432477691,8.06069593168755,8.30833903013939,-145.244091168452,-145.244091168452,-145.244091168452,1,-145.244091168452,10.9665054519057,10.6591039634737,6.56985560833093,9.54303182025524,9.06069593168755,2.32192809488737,8.12928301694495,9.46147944728617,4.4594316186373,10.047123912114,4.75488750216348,6.24792751344359,9.01122725542325,11.3586512008929,9.32642948712231,-145.244091168452,7.17990909001495,-145.244091168452,8.46352437327118,8.19967234483636,-145.244091168452,3.99999999999997,10.9665054519057,7.81378119121703,3,-145.244091168452,10.5679560754155,4.70043971814107,4.95419631038686,"Sepsis+"
"R12",9.46147944728617,4.9068905956085,6.83289001416472,10.7389366816761,8.45121111183232,5.78135971352464,3.32192809488737,0,-145.240613040806,3,11.6101020629997,8.88264304936183,5.83289001416475,8.64385618977471,10.8233672400462,11.6375305515253,10.1254134704833,9.13442632022094,6.59991284218714,-145.240613040806,-145.240613040806,-145.240613040806,-145.240613040806,0,11.780539767472,11.1579784499454,5.90689059560853,9.42206476617281,9.2045711442492,0,8.76818432477691,11.0244471240406,3.7004397181411,8.64024493622233,3,7.44294349584871,9.21916852046218,11.4913520735634,7.76155123244448,-145.240613040806,7.02236781302844,-145.240613040806,8.86108690599539,8.64385618977471,-145.240613040806,0,11.0327345285867,8.4093909361377,2.32192809488737,-145.240613040806,11.7090838125503,7.876516946565,3.16992500144229,"Sepsis+"
"R123",9.39874369193819,6.39231742277875,7.01122725542325,10.9359016822676,8.73131903102504,8.20945336562895,4.9068905956085,0,-145.246814746946,4.08746284125033,11.4199601778479,9.13442632022094,8.70735913208088,8.73809225962049,10.6429542234803,11.1344263202209,9.8376279331714,8.84549005094436,7.74819284958946,-145.246814746946,-145.246814746946,-145.246814746946,-145.246814746946,3.16992500144229,11.7129568216976,11.6591039634737,7.94836723158468,10.4231159101471,7.97727992349991,1,8.25738784269265,10.0980320829605,4.80735492205758,9.15987133677839,3.58496250072116,8.11894107272349,9.69870466677034,11.2702953264721,8.82017896241518,-145.246814746946,7.56224242422107,-145.246814746946,9.09803208296054,7.85174904141604,-145.246814746946,-145.246814746946,11.2395985292491,9.50977500432694,5.78135971352464,-145.246814746946,11.3026389237875,5.72792045456319,4.24792751344359,"Sepsis+"
"R124",8.80413102118331,6.62935662007962,7.12928301694495,10.8501868376458,9.55074678538324,3.4594316186373,3,1.58496250072113,-145.250221501987,4.70043971814107,11.1692986957928,9.22641219278879,5.4594316186373,7.76155123244448,10.4868350215631,10.6960981709558,9.71424551766611,7.99435343685886,7.43462822763672,-145.250221501987,-145.250221501987,-145.250221501987,0,2.80735492205758,11.8548683832602,11.3949985145017,6.6582114827518,10.7681843247769,6.56985560833093,-145.250221501987,8.27612440527423,9.80896417491925,4.32192809488737,9.05799172275917,2.58496250072116,7.46760555008299,10.4220647661728,11.1935253605012,9.0251395622785,-145.250221501987,6.76818432477691,-145.250221501987,9.06069593168755,8.10328780841201,-145.250221501987,3.80735492205758,11.1686721181322,9.39874369193819,2.58496250072116,-145.250221501987,11.4833119549994,4.75488750216348,3.9068905956085,"Sepsis+"
